country,_year,population,pop_lower,pop_higher,pop_pred,gdp_current_usd,gdp_lower,gdp_higher,gdp_pred,land_area_ha,land_area_ha_low,land_area_ha_high,land_area_ha_pred,agri_land_pct,agri_land_pct_low,agri_land_pct_high,agri_land_pct_pred,forest_area_pct,forest_area_pct_low,forest_area_pct_high,forest_area_pct_pred,cereal_yield_kg_ha,cereal_yield_kg_ha_low,cereal_yield_kg_ha_high,cereal_yield_kg_ha_pred,cash_crop_yield_kg_ha,cash_crop_yield_kg_ha_low,cash_crop_yield_kg_ha_high,cash_crop_yield_kg_ha_pred,employment_agri_pct,employment_agri_pct_low,employment_agri_pct_high,employment_agri_pct_pred,livestock_production_100_index,livestock_production_100_index_low,livestock_production_100_index_high,livestock_production_100_index_pred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1985,15758000.00,15742899.94,15863888.07,15798792.33,180000000000.00,78471603054.00,386000000000.00,230000000000.00,768230000.00,760226897.30,780229637.50,769702675.50,472960000.00,432855332.70,514245825.90,474025210.30,132475659.60,125998802.90,132937509.50,129704402.30,1453.10,1007.30,2047.16,1508.52,290.62,220.94,383.26,306.33,5.35,5.42,6.14,5.77,71.65,73.03,91.47,82.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1986,16018400.00,15989839.11,16107141.70,16046810.09,182000000000.00,82630931151.00,389000000000.00,239000000000.00,768230000.00,760583299.20,779592877.10,769873326.80,470885000.00,428117883.60,512903396.00,469926105.70,133813797.50,126049868.70,132866103.40,129705982.00,1521.90,1054.81,2068.81,1562.89,304.38,224.55,387.03,310.28,5.95,5.31,6.05,5.68,75.32,72.83,92.36,83.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1987,16263900.00,16229409.91,16350167.90,16289598.61,189000000000.00,98779637608.00,405000000000.00,252000000000.00,768230000.00,758227339.20,778496336.10,768522485.90,471020000.00,424915432.30,504783840.30,465590804.40,132475659.60,126253469.40,132899315.20,129407869.00,1436.00,1110.25,2124.53,1627.70,287.20,240.08,395.43,315.78,5.35,5.17,5.92,5.54,79.78,73.61,93.45,83.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1988,16532200.00,16454533.99,16567972.50,16513092.28,236000000000.00,125000000000.00,422000000000.00,269000000000.00,768230000.00,755610999.10,775186153.80,765646441.50,472283000.00,421487577.30,501228175.30,461028491.70,131150902.90,125277156.70,132304924.10,128810519.00,1629.40,1172.24,2231.59,1702.93,325.88,242.96,406.43,322.83,5.41,5.00,5.73,5.35,81.33,72.99,93.61,83.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1989,16814400.00,16730612.96,16842760.67,16787882.95,299000000000.00,141000000000.00,438000000000.00,279000000000.00,768230000.00,759736866.90,780187163.90,769681386.40,467077000.00,429811747.80,510678794.40,471663037.40,129839394.00,125890180.70,132614493.00,129222977.30,1676.40,1100.19,2187.97,1615.53,335.28,245.12,401.02,324.13,6.01,5.17,5.93,5.54,79.90,76.88,96.27,86.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1990,17065100.00,16992655.96,17109124.70,17050578.93,311000000000.00,130000000000.00,435000000000.00,288000000000.00,768230000.00,760378302.00,779091248.70,769852037.70,464481000.00,426602760.60,508521034.50,467557276.70,128541000.00,125653365.20,132584210.60,129224083.60,1716.10,1169.43,2166.41,1669.89,343.22,250.93,403.26,328.07,5.41,5.08,5.81,5.45,86.42,78.17,97.24,87.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1991,17284000.00,17196611.33,17314018.73,17255323.71,325000000000.00,152000000000.00,461000000000.00,301000000000.00,768230000.00,759165963.70,777849689.90,768501196.90,462974000.00,420932156.80,503115736.20,463213291.40,128571000.00,125610825.40,132259895.10,128925969.80,1603.40,1166.35,2281.62,1734.71,320.68,256.97,411.63,333.57,5.46,4.93,5.67,5.30,88.16,77.93,97.49,87.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1992,17495000.00,17380288.35,17502760.49,17440773.64,325000000000.00,167000000000.00,461000000000.00,319000000000.00,768230000.00,756078842.90,775067044.50,765625152.40,466178000.00,421682697.00,497790870.40,458642294.70,128601000.00,124963672.50,131805954.30,128328619.00,1896.60,1284.70,2333.64,1809.94,379.32,263.69,417.92,340.62,5.28,4.76,5.48,5.12,87.79,78.44,97.91,87.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1993,17667000.00,17616790.94,17733917.99,17674254.13,312000000000.00,177000000000.00,486000000000.00,329000000000.00,768230000.00,760695925.50,779404013.50,769660097.30,460286000.00,431853664.40,510829547.90,469263640.10,128631000.00,125537096.90,132040089.10,128741069.20,1979.50,1194.90,2256.10,1722.54,395.90,266.89,420.55,341.92,5.31,4.87,5.63,5.26,89.94,81.25,99.92,90.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1994,17855000.00,17834331.88,17956609.21,17895752.81,322000000000.00,185000000000.00,478000000000.00,338000000000.00,768230000.00,759887374.70,780121574.00,769830748.70,469100000.00,425301496.00,502531642.20,465144715.10,128661000.00,125431670.50,131941596.40,128742167.40,1266.70,1240.48,2299.53,1776.91,253.34,267.19,429.12,345.87,5.08,4.75,5.49,5.12,92.22,82.37,101.19,91.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1995,18072000.00,18039242.98,18159250.29,18097344.02,367000000000.00,215000000000.00,533000000000.00,375000000000.00,768230000.00,759349683.40,778462536.90,768479907.80,463348000.00,418058246.20,501172147.30,460790891.40,128691000.00,125526357.50,131818942.30,128444045.50,1871.00,1302.50,2382.48,1841.73,374.20,278.45,427.03,351.37,4.94,4.56,5.32,4.94,91.75,82.02,100.79,91.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1996,18311000.00,18219127.46,18339480.12,18279640.38,400000000000.00,260000000000.00,573000000000.00,417000000000.00,768230000.00,755961644.70,775104453.80,765603863.40,465221000.00,419173505.70,495477751.90,456210056.20,128721000.00,124462106.90,131183555.20,127846686.70,2129.50,1375.95,2461.65,1916.97,425.90,275.31,436.91,358.42,5.00,4.35,5.10,4.70,92.82,81.88,101.53,91.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1997,18517000.00,18455000.78,18572532.99,18513120.88,435000000000.00,300000000000.00,604000000000.00,451000000000.00,768230000.00,759234710.10,778887908.70,769638808.30,462200000.00,424857760.50,510388727.70,466310669.50,128751000.00,124864196.00,131783979.50,128259123.80,1953.80,1319.94,2353.53,1829.58,390.76,283.33,440.14,359.72,5.09,4.47,5.20,4.84,97.47,84.25,103.98,94.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1998,18711000.00,18677456.71,18795433.86,18734619.55,399000000000.00,333000000000.00,644000000000.00,484000000000.00,768230000.00,760110339.50,779351944.90,769809459.70,463786000.00,423655007.60,502647894.10,461672435.10,128781000.00,124755730.70,131516259.40,128260208.90,1986.30,1360.40,2414.61,1883.95,397.26,282.67,444.67,363.66,4.88,4.33,5.07,4.70,99.28,84.83,104.43,95.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/1999,18926000.00,18879542.70,18997522.32,18936595.95,389000000000.00,366000000000.00,663000000000.00,521000000000.00,768230000.00,757858605.40,778917497.40,768458618.80,453729000.00,415882608.80,499229793.30,456794495.40,128811000.00,124678224.70,131233456.50,127962074.10,2111.00,1411.83,2478.66,1948.80,422.20,292.23,454.35,369.16,4.92,4.12,4.90,4.50,103.69,85.57,104.84,95.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2000,19153000.00,19090764.88,19206289.35,19147551.32,415000000000.00,417000000000.00,713000000000.00,563000000000.00,768230000.00,756285684.80,774946872.50,765582574.40,455500000.00,412009857.20,494017194.50,451689164.00,128841000.00,123962245.00,130626147.50,127364702.20,1962.30,1480.72,2552.77,2024.09,392.46,299.16,453.20,376.21,4.86,3.89,4.62,4.27,104.21,85.93,105.23,95.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2001,19413000.00,19348988.43,19470246.09,19409769.33,378000000000.00,432000000000.00,745000000000.00,597000000000.00,768230000.00,759896176.10,779613011.60,769617519.30,455700000.00,423943081.30,502446443.50,461782134.50,128601000.00,124330108.70,131535662.40,127777139.20,1959.60,1416.01,2504.98,1936.75,391.92,297.17,457.26,377.51,4.75,4.02,4.78,4.40,106.89,88.92,108.26,98.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2002,19651400.00,19597877.89,19720355.10,19660933.22,395000000000.00,493000000000.00,798000000000.00,642000000000.00,768230000.00,760226377.80,778820290.10,769788170.70,447000000.00,417685125.60,499975305.00,457133612.50,128361000.00,124591121.40,131399986.60,127778224.40,2197.50,1468.11,2509.52,1991.20,439.50,302.75,456.43,381.46,4.38,3.87,4.61,4.26,105.65,88.62,107.24,98.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2003,19895400.00,19836254.29,19952420.70,19892189.66,466000000000.00,534000000000.00,841000000000.00,691000000000.00,768230000.00,758441961.20,777769473.90,768437329.80,439500000.00,413027864.30,494452258.60,452252626.70,128121000.00,124091190.90,130600776.20,127480089.50,1020.70,1505.98,2622.71,2056.11,204.14,312.94,464.30,386.96,3.91,3.70,4.44,4.06,100.99,86.83,106.83,97.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2004,20127400.00,20065799.35,20182409.55,20123875.09,612000000000.00,591000000000.00,898000000000.00,745000000000.00,768230000.00,756543113.90,776125127.50,765561285.40,440110000.00,395999110.80,475664842.50,435554874.50,127881000.00,123356341.10,130404358.70,126882717.60,2116.40,1620.72,2667.32,2131.46,423.28,309.97,472.10,394.01,3.74,3.47,4.19,3.83,97.32,86.05,106.05,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2005,20394800.00,20346979.44,20463936.62,20406879.97,693000000000.00,635000000000.00,931000000000.00,790000000000.00,768230000.00,760307745.60,780315103.70,769596230.40,445149000.00,392698626.90,473388397.20,434023664.20,127641000.00,123979017.40,130408470.50,127295154.70,1694.60,1505.78,2528.28,2044.18,338.92,318.86,479.22,395.31,3.58,3.59,4.33,3.97,101.47,88.15,107.07,97.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2006,20697900.00,20619926.27,20736731.43,20678187.50,746000000000.00,685000000000.00,982000000000.00,835000000000.00,768230000.00,760560031.80,779997280.90,769766881.70,434925000.00,377163715.00,459390136.00,417777794.70,126755000.00,123823939.20,130680444.00,127296239.80,2111.70,1599.79,2615.07,2098.70,422.34,323.30,481.82,399.25,3.43,3.45,4.19,3.82,101.21,87.64,106.73,97.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2007,20827600.00,20861305.16,20989119.49,20929587.57,853000000000.00,739000000000.00,1040000000000.00,885000000000.00,768230000.00,758997876.40,777776519.50,768416040.90,425449000.00,360593874.20,443688099.40,401299461.40,125869000.00,123704599.50,130489811.30,126998104.90,981.30,1654.18,2691.44,2163.68,196.26,325.94,478.64,404.75,3.35,3.25,3.97,3.63,104.36,86.37,106.31,96.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2008,21249200.00,21208061.33,21322156.54,21263480.29,1050000000000.00,779000000000.00,1100000000000.00,938000000000.00,768230000.00,755888870.50,775644457.50,765539996.50,417288000.00,342597550.80,425076894.40,384590040.20,124983000.00,123094653.50,129643830.80,126401609.70,1332.70,1684.64,2756.77,2239.07,266.54,330.30,489.55,411.80,3.31,3.03,3.76,3.39,101.22,84.66,104.63,94.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2009,21691700.00,21589182.00,21708793.04,21648972.46,928000000000.00,843000000000.00,1140000000000.00,984000000000.00,768230000.00,758817465.20,779494004.90,769574941.50,409029000.00,342301615.70,424974713.80,383047129.00,124097000.00,123727627.60,130180029.50,126814925.70,1651.40,1610.85,2655.94,2151.83,330.28,333.61,492.15,413.11,3.23,3.17,3.91,3.53,100.65,86.76,105.93,96.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2010,22031750.00,21960236.91,22082574.86,22022067.48,1150000000000.00,873000000000.00,1190000000000.00,1030000000000.00,768230000.00,760268041.60,779954896.20,769745592.80,398580000.00,325865102.10,409270405.10,366797183.00,123211000.00,123478033.60,130111372.20,126816887.40,1661.50,1661.26,2713.03,2206.36,332.30,336.10,496.89,417.05,3.23,2.99,3.73,3.38,97.97,86.96,105.44,96.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2011,22340024.00,22315894.68,22435578.25,22375255.04,1400000000000.00,924000000000.00,1230000000000.00,1080000000000.00,768230000.00,758787788.70,778161395.30,768394752.00,409672593.70,313275894.50,389855363.90,350314773.20,123519000.00,123099902.80,129985552.50,126519629.10,2097.50,1726.63,2791.46,2271.34,419.50,344.65,503.69,422.55,2.82,2.82,3.57,3.19,98.16,85.27,104.60,95.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2012,22733465.00,22645717.31,22767123.12,22709147.76,1550000000000.00,975000000000.00,1280000000000.00,1130000000000.00,768230000.00,755550423.50,775261539.30,765518707.60,405474000.00,293935873.20,375081515.40,333605352.00,123827000.00,122674375.20,129314592.60,125923133.90,2231.60,1828.69,2889.52,2346.73,446.32,349.95,504.79,429.60,2.80,2.57,3.35,2.95,99.98,83.62,103.94,93.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2013,23128129.00,23036257.59,23155365.92,23094639.93,1580000000000.00,1020000000000.00,1330000000000.00,1180000000000.00,768230000.00,759409482.00,778776541.80,769553652.50,396615312.50,292156676.90,371226829.20,332062440.80,124135000.00,123087207.10,129773695.10,126336449.90,1936.10,1729.90,2785.98,2259.49,450.83,352.58,507.05,430.90,2.62,2.74,3.45,3.09,106.09,84.64,104.66,95.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1/01/2014,23475686.00,23406001.49,23525746.78,23467734.95,1470000000000.00,1070000000000.00,1360000000000.00,1220000000000.00,768230000.00,759656631.50,779322057.50,769724303.90,406269000.00,272447390.40,358305632.00,315812494.90,124443000.00,122737906.50,129650220.50,126338411.60,2137.90,1769.56,2834.47,2314.02,455.38,360.06,510.04,434.85,2.80,2.58,3.31,2.94,106.12,84.69,104.73,95.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
