LOCATION,TIME,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Access to electricity (% of population),Renewable electricity output (% of total electricity output),Urban population (% of total population),Electric power consumption (kWh per capita)
AFG,1997,65.2540742,22.9999816,72.3880597,21.805,141.269206
AFG,1998,65.25342166,22.9999839,74.43609023,21.895,141.1279368
AFG,1999,65.25276913,22.9999862,73.72262774,21.986,140.9868089
AFG,2000,65.2521166,22.9999885,74.98909408,22.078,140.8458221
AFG,2001,65.25146408,22.9999908,72.81145999,22.169,140.7049762
AFG,2002,65.25081156,22.9999931,79.0639712,22.261,140.5642713
AFG,2003,65.25015905,22.9999954,70.24972856,22.353,140.423707
AFG,2004,65.24950655,22.9999977,70.89084065,22.5,140.2832833
AFG,2005,65.24885406,23,74.06181015,22.703,140.143
AFG,2006,65.24820157,28.56097412,70.75575027,22.907,140.002857
AFG,2007,65.24754909,34.25324631,72,23.113,139.8628541
AFG,2008,65.24689661,42.4,68.65482234,23.32,139.7229913
AFG,2009,65.24624414,45.67055511,87.17660292,23.528,139.5832683
AFG,2010,65.24559168,42.7,85.98654709,23.737,139.443685
AFG,2011,66.83572711,43.22201891,82.48756219,23.948,139.3042413
AFG,2012,66.02317421,69.1,85.90998043,24.16,139.1649371
AFG,2013,61.36674452,68.93326569,78.6364081,24.373,140.6988
AFG,2014,59.01033025,89.5,85.32354903,24.587,142.12
AFG,2015,61.2526558,71.5,86.05011125,24.803,141.97788
AFG,2016,56.28704672,97.7,85.18961014,25.02,141.8359021
AFG,2017,56.91080835,97.7,84.33771404,25.25,141.6940662
AFG,2018,56.85389755,98.71320343,83.4943369,25.495,141.5523722
AFG,2019,56.79704365,98.71419057,82.65939353,25.754,141.4108198
AFG,2020,56.7402466,98.71517772,81.83279959,0,141.269409
ALB,1960,22.65060599,89.45260348,3.662925327,30.705,166.9561592
ALB,1961,22.65287128,89.46154964,4.06991703,30.943,185.5068436
ALB,1962,22.65513679,89.47049669,4.522130033,31.015,206.1187151
ALB,1963,22.65740253,89.47944463,5.024588926,31.086,229.0207946
ALB,1964,22.6596685,89.48839347,5.582876584,31.158,254.4675495
ALB,1965,22.66193469,89.49734321,6.203196204,31.23,282.7417217
ALB,1966,22.66420111,89.50629383,6.892440227,31.302,314.1574685
ALB,1967,22.66646776,89.51524536,7.658266919,31.374,349.0638539
ALB,1968,22.66873463,89.52419778,8.509185465,31.446,387.8487266
ALB,1969,22.67100173,89.53315109,9.454650517,31.548,430.9430295
ALB,1970,22.67326906,89.5421053,10.50516724,31.74,478.8255884
ALB,1971,22.67553661,89.55106041,11.67240805,31.933,532.0284315
ALB,1972,22.67780439,89.56001641,12.96934227,32.127,568.4032016
ALB,1973,22.6800724,89.56897331,14.4103803,32.321,593.4467457
ALB,1974,22.68234063,89.5779311,16.01153367,32.516,591.0326434
ALB,1975,22.68460909,89.58688979,17.79059297,32.712,739.3450933
ALB,1976,22.68687778,89.59584938,19.76732552,32.908,908.6745473
ALB,1977,22.6891467,89.60480986,21.96369502,33.105,1067.814156
ALB,1978,22.69141584,89.61377123,24.40410558,33.302,1098.483166
ALB,1979,22.69368521,89.62273351,27.11567287,33.5,1065.767398
ALB,1980,22.6959548,89.63169668,30.12852541,33.762,1142.965355
ALB,1981,22.69822462,89.64066074,33.47613934,34.024,1123.968106
ALB,1982,22.70049467,89.64962571,37.19571038,34.287,1096.873229
ALB,1983,22.70276495,89.65859157,41.32856709,34.552,1070.690164
ALB,1984,22.70503545,89.66755832,45.9206301,34.817,1018.100288
ALB,1985,22.70730618,89.67652597,51.02292233,35.083,796.3539738
ALB,1986,22.70957714,89.68549452,56.69213592,35.35,1420.614795
ALB,1987,22.71184833,89.69446397,62.99126214,35.619,1161.951677
ALB,1988,22.71411974,89.70343431,69.99029126,35.888,1005.93953
ALB,1989,22.71639138,89.71240555,77.76699029,36.158,1021.3935
ALB,1990,22.71866324,89.72137769,86.40776699,36.428,552.2521848
ALB,1991,22.02040791,89.73035073,92.14248298,36.7,418.453589
ALB,1992,22.02261017,89.73932466,95.05008839,37.249,453.6440739
ALB,1993,22.02481266,89.74829949,93.90762256,37.799,536.3638251
ALB,1994,22.02701536,89.75727522,95.68637402,38.354,596.4079593
ALB,1995,22.02921828,89.76625184,93.98613906,38.911,663.7839954
ALB,1996,21.99912811,89.77522936,95.72049482,39.473,904.3466403
ALB,1997,21.99890812,89.78420779,96.17444529,40.035,694.6648028
ALB,1998,21.99868813,89.7931871,96.32021922,40.601,734.8499135
ALB,1999,21.99846814,89.80216732,97.32915822,41.169,1414.703784
ALB,2000,21.99824816,89.81114844,96.14901632,41.741,1449.647413
ALB,2001,21.576121,89.82013045,95.30831099,42.435,1351.230796
ALB,2002,21.57590524,89.82911336,93.95398609,43.501,1578.165919
ALB,2003,21.57568948,89.83809717,97.85657051,44.573,1469.264539
ALB,2004,21.57547372,89.84708188,97.5026757,45.651,1797.525487
ALB,2005,21.57525796,89.85606748,98.71394452,46.731,1722.07285
ALB,2006,21.27867926,89.86505399,98.31643736,47.815,1218.360146
ALB,2007,21.27846647,89.87404139,97.48251748,48.902,1213.124369
ALB,2008,21.27825369,89.8830297,100,49.991,1617.744156
ALB,2009,21.2780409,89.8920189,99.98077662,51.076,1835.684072
ALB,2010,21.27782812,89.901009,99.98678647,52.163,1943.343354
ALB,2011,22.77253665,89.91,98.59222143,53.247,2205.70392
ALB,2012,20.57825918,99.9,100,54.33,2118.327776
ALB,2013,19.93851711,100,100,55.387,2533.252829
ALB,2014,18.88395497,100,100,56.423,2309.366503
ALB,2015,19.51253962,100,100,57.434,2307.057136
ALB,2016,18.18993375,100,99,58.421,2304.750079
ALB,2017,18.20060252,100,98.01,59.383,2302.445329
ALB,2018,18.18240192,100,97.0299,60.319,2300.142884
ALB,2019,18.16421952,100.001,96.059601,61.229,2297.842741
ALB,2020,18.1460553,100.002,95.09900499,0,2295.544898
DZA,1960,36.81962743,98.26456651,0.035536552,30.51,42.01091945
DZA,1961,36.82330976,98.27439395,0.039485058,31.797,46.67879939
DZA,1962,36.82699246,98.28422237,0.043872287,33.214,51.86533266
DZA,1963,36.83067553,98.29405178,0.048746985,34.662,57.6281474
DZA,1964,36.83435896,98.30388217,0.054163317,36.141,64.03127488
DZA,1965,36.83804277,98.31371354,0.060181463,37.643,71.14586098
DZA,1966,36.84172694,98.32354589,0.066868292,38.84,79.05095665
DZA,1967,36.84541148,98.33337923,0.074298103,39.004,87.83439627
DZA,1968,36.84909639,98.34321355,0.082553447,39.169,97.59377364
DZA,1969,36.85278167,98.35304886,0.091726053,39.334,108.4375263
DZA,1970,36.85646732,98.36288514,0.101917836,39.5,120.4861403
DZA,1971,36.86015333,98.37272242,0.11324204,39.665,133.8734892
DZA,1972,36.86383972,98.38256067,0.125824489,39.831,142.8759276
DZA,1973,36.86752647,98.39239991,0.139804988,39.997,158.7541554
DZA,1974,36.87121359,98.40224014,0.155338876,40.163,170.6604578
DZA,1975,36.87490108,98.41208134,0.172598751,40.33,195.6922771
DZA,1976,36.87858894,98.42192354,0.19177639,40.497,220.0657727
DZA,1977,36.88227717,98.43176671,0.213084878,40.928,233.1241756
DZA,1978,36.88596576,98.44161088,0.236760975,41.794,278.9705996
DZA,1979,36.88965473,98.45145602,0.26306775,42.665,314.5676853
DZA,1980,36.89334406,98.46130215,0.2922975,43.542,330.3043727
DZA,1981,36.89703377,98.47114927,0.324775,44.42,363.4428271
DZA,1982,36.90072384,98.48099737,0.360861111,45.303,406.0548474
DZA,1983,36.90441428,98.49084645,0.40095679,46.189,417.498445
DZA,1984,36.90810509,98.50069652,0.445507545,47.079,441.2877939
DZA,1985,36.91179627,98.51054757,0.495008383,47.968,466.4868184
DZA,1986,36.91548782,98.52039961,0.550009314,48.86,485.2744883
DZA,1987,36.91917974,98.53025264,0.611121461,49.722,455.4080367
DZA,1988,36.92287202,98.54010665,0.679023845,50.511,481.8874507
DZA,1989,36.92656468,98.54996165,0.754470939,51.298,522.142149
DZA,1990,36.93025771,98.55981763,0.838301043,52.085,531.5838983
DZA,1991,36.44200374,98.5696746,1.689247622,52.871,532.4903385
DZA,1992,36.4456483,98.57953255,1.088264246,53.657,559.7830957
DZA,1993,36.44929323,98.58939149,1.818275471,54.439,547.9905115
DZA,1994,36.45293853,98.59925141,0.834884072,55.219,550.9720181
DZA,1995,36.45658418,98.60911232,0.978950038,55.997,559.9179492
DZA,1996,37.53755178,98.61897422,0.653626416,56.774,570.5176293
DZA,1997,37.5371764,98.62883711,0.348885891,57.544,575.6988901
DZA,1998,37.53680103,98.63870098,0.924254148,58.313,618.4927682
DZA,1999,37.53642566,98.64856583,0.819970109,59.118,652.8013246
DZA,2000,37.5360503,98.65843168,0.212498032,59.919,683.2948723
DZA,2001,35.8602609,98.66829851,0.25915493,60.712,709.0914606
DZA,2002,35.8599023,98.67816632,0.206163194,61.501,730.8089889
DZA,2003,35.8595437,98.68803513,0.896148253,62.284,786.4144723
DZA,2004,35.8591851,98.69790492,0.8032,63.061,804.1070883
DZA,2005,35.85882651,98.70777569,1.636444051,63.83,890.6258164
DZA,2006,33.63716573,98.71764746,0.618861069,64.593,862.4297219
DZA,2007,33.63682936,98.72752021,0.607592214,65.348,894.2846911
DZA,2008,33.63649299,98.73739395,0.703350234,66.097,947.2912193
DZA,2009,33.63615662,98.74726868,0.794784551,66.826,866.307327
DZA,2010,33.63582026,98.87762451,0.380460926,67.54,1016.636669
DZA,2011,33.83404774,99.04978943,0.980009371,68.236,1123.332731
DZA,2012,33.3668262,98.76466047,1.083680332,68.915,1237.966507
DZA,2013,34.24532791,99.53858185,0.551010185,69.576,1278.915343
DZA,2014,35.56391718,99.84082031,0.395379969,70.221,1362.871919
DZA,2015,36.08916357,99.93136597,0.322683799,70.848,1361.509047
DZA,2016,39.85327385,99.99005127,0.319456961,71.459,1360.147538
DZA,2017,38.8840107,100,0.316262391,72.052,1358.787391
DZA,2018,38.84512669,100,0.313099767,72.629,1357.428603
DZA,2019,38.80628156,100.001,0.30996877,73.189,1356.071175
DZA,2020,38.76747528,100.002,0.306869082,0,1354.715103
ASM,1960,12.44169964,0,0,66.211,0
ASM,1961,12.44294394,0,0,66.641,0
ASM,1962,12.44418836,0,0,67.068,0
ASM,1963,12.4454329,0,0,67.493,0
ASM,1964,12.44667757,0,0,67.916,0
ASM,1965,12.44792236,0,0,68.334,0
ASM,1966,12.44916728,0,0,68.75,0
ASM,1967,12.45041232,0,0,69.163,0
ASM,1968,12.45165748,0,0,69.574,0
ASM,1969,12.45290277,0,0,69.98,0
ASM,1970,12.45414819,0,0,70.384,0
ASM,1971,12.45539373,0,0,70.784,0
ASM,1972,12.45663939,0,0,71.182,0
ASM,1973,12.45788518,0,0,71.576,0
ASM,1974,12.45913109,0,0,71.967,0
ASM,1975,12.46037713,0,0,72.354,0
ASM,1976,12.46162329,0,0,72.739,0
ASM,1977,12.46286958,0,0,73.12,0
ASM,1978,12.46411599,0,0,73.497,0
ASM,1979,12.46536253,0,0,73.871,0
ASM,1980,12.46660919,0,0,74.33,0
ASM,1981,12.46785597,0,0,75.043,0
ASM,1982,12.46910288,0,0,75.743,0
ASM,1983,12.47034992,0,0,76.429,0
ASM,1984,12.47159708,0,0,77.103,0
ASM,1985,12.47284436,0,0,77.762,0
ASM,1986,12.47409177,0,0,78.408,0
ASM,1987,12.47533931,0,0,79.04,0
ASM,1988,12.47658696,0,0,79.659,0
ASM,1989,12.47783475,0,0,80.263,0
ASM,1990,12.47908266,0,0,80.948,0
ASM,1991,12.47409177,0,0,81.886,0
ASM,1992,12.47533931,0,0,82.789,0
ASM,1993,12.47658696,0,0,83.654,0
ASM,1994,12.47783475,0,0,84.485,0
ASM,1995,12.47908266,0,0,85.28,0
ASM,1996,15.21527657,0,0,86.043,0
ASM,1997,15.21512442,0,0,86.771,0
ASM,1998,15.21497226,0,0,87.467,0
ASM,1999,15.21482012,0,0,88.131,0
ASM,2000,15.21466797,0,0,88.587,0
ASM,2001,15.23845121,0,0,88.491,0
ASM,2002,15.23829883,0,0,88.394,0
ASM,2003,15.23814645,0,0,88.297,0
ASM,2004,15.23799406,0,0,88.198,0
ASM,2005,15.23784168,0,0,88.1,0
ASM,2006,15.07332466,0,0,88,0
ASM,2007,15.07317392,0,0,87.9,0
ASM,2008,15.07302319,0,0,87.799,0
ASM,2009,15.07287246,0,0,87.697,0
ASM,2010,15.07272173,0,0,87.594,0
ASM,2011,15.39064186,0,0,87.502,0
ASM,2012,14.34415015,0,0.702426564,87.42,0
ASM,2013,14.12722552,0,0.703140481,87.348,0
ASM,2014,13.31699203,0,0.700882475,87.288,0
ASM,2015,13.0193901,0,0.885478158,87.238,0
ASM,2016,12.38272987,0,0.876623377,87.198,0
ASM,2017,12.47382024,0,0.867857143,87.17,0
ASM,2018,12.46134642,0,0.859178571,87.153,0
ASM,2019,12.44888508,0,0.850586786,87.147,0
ASM,2020,12.43643619,0,0.842080918,0,0
AND,1960,14.07644674,99.69046455,4.239115828,58.45,0
AND,1961,14.07785453,99.70043459,4.710128697,60.983,0
AND,1962,14.07926245,99.71040563,5.23347633,63.462,0
AND,1963,14.08067052,99.72037767,5.8149737,65.872,0
AND,1964,14.08207873,99.73035071,6.461081889,68.205,0
AND,1965,14.08348708,99.74032474,7.178979877,70.445,0
AND,1966,14.08489557,99.75029977,7.976644308,72.593,0
AND,1967,14.0863042,99.7602758,8.86293812,74.641,0
AND,1968,14.08771297,99.77025282,9.847709022,76.588,0
AND,1969,14.08912188,99.78023085,10.94189891,78.424,0
AND,1970,14.09053093,99.79020987,12.15766546,80.155,0
AND,1971,14.09194013,99.80018989,13.50851718,81.78,0
AND,1972,14.09334946,99.8101709,15.00946353,83.301,0
AND,1973,14.09475894,99.82015292,16.6771817,84.716,0
AND,1974,14.09616855,99.83013593,18.53020189,86.032,0
AND,1975,14.09757831,99.84011994,20.58911321,87.252,0
AND,1976,14.09898821,99.85010495,22.87679245,88.382,0
AND,1977,14.10039825,99.86009096,25.41865828,89.42,0
AND,1978,14.10180843,99.87007797,28.24295365,90.378,0
AND,1979,14.10321875,99.88006598,31.38105961,91.257,0
AND,1980,14.10462922,99.89005498,34.86784401,92.064,0
AND,1981,14.10603982,99.90004499,38.7420489,92.8,0
AND,1982,14.10745057,99.91003599,43.046721,93.474,0
AND,1983,14.10886145,99.92002799,47.82969,94.089,0
AND,1984,14.11027248,99.930021,53.1441,94.649,0
AND,1985,14.11168365,99.940015,59.049,95.159,0
AND,1986,14.11309496,99.95001,65.61,95.325,0
AND,1987,14.11450641,99.960006,72.9,95.178,0
AND,1988,14.115918,99.970003,81,95.027,0
AND,1989,14.11732973,99.980001,90,94.872,0
AND,1990,14.11874161,99.99,100,94.712,0
AND,1991,13.93129302,100,100,94.53,0
AND,1992,13.93268628,100,100,94.324,0
AND,1993,13.93407969,100,100,94.111,0
AND,1994,13.93547324,100,100,93.89,0
AND,1995,13.93686693,100,100,93.661,0
AND,1996,12.59451848,100,100,93.425,0
AND,1997,12.59439253,100,100,93.18,0
AND,1998,12.59426659,100,100,92.927,0
AND,1999,12.59414065,100,100,92.666,0
AND,2000,12.59401471,100,100,92.395,0
AND,2001,12.96189651,100,100,92.056,0
AND,2002,12.96176689,100,100,91.641,0
AND,2003,12.96163728,100,100,91.207,0
AND,2004,12.96150766,100,98.93617021,90.751,0
AND,2005,12.96137804,100,98.82352941,90.285,0
AND,2006,12.8077098,100,94.59459459,89.807,0
AND,2007,12.80758172,100,75,89.308,0
AND,2008,12.80745365,100,80.05082592,89.004,0
AND,2009,12.80732557,100,76.54320988,88.912,0
AND,2010,12.8071975,100,88.73114463,88.819,0
AND,2011,13.27350555,100,86.51315789,88.726,0
AND,2012,12.40705303,100,86.6894198,88.631,0
AND,2013,11.81367331,100,88.7532694,88.537,0
AND,2014,10.83041825,100,89.43217666,88.441,0
AND,2015,11.46217847,100,86.1167002,88.345,0
AND,2016,10.25583443,100,85.2555332,88.248,0
AND,2017,10.30762139,100,84.40297787,88.15,0
AND,2018,10.29731377,100,83.55894809,88.062,0
AND,2019,10.28701646,100.001,82.72335861,87.984,0
AND,2020,10.27672944,100.002,81.89612502,0,0
AGO,1960,36.33893004,19.91816379,3.654410196,10.435,28.88348493
AGO,1961,36.3425643,19.9201558,4.060455773,10.798,32.09276103
AGO,1962,36.34619892,19.92214802,4.511617526,11.204,35.65862337
AGO,1963,36.3498339,19.92414043,5.012908362,11.624,39.62069263
AGO,1964,36.35346925,19.92613304,5.56989818,12.058,44.02299181
AGO,1965,36.35710496,19.92812586,6.188775756,12.504,48.91443534
AGO,1966,36.36074104,19.93011887,6.876417507,12.965,54.34937261
AGO,1967,36.36437747,19.93211208,7.640463896,13.441,60.38819178
AGO,1968,36.36801427,19.93410549,8.489404329,13.932,67.09799087
AGO,1969,36.37165144,19.9360991,9.432671477,14.436,74.55332319
AGO,1970,36.37528897,19.93809291,10.48074609,14.957,82.83702577
AGO,1971,36.37892686,19.94008692,11.64527343,15.632,92.04113974
AGO,1972,36.38256512,19.94208113,12.9391927,16.455,100.5032846
AGO,1973,36.38620374,19.94407553,14.37688078,17.31,113.5915525
AGO,1974,36.38984272,19.94607014,15.97431197,18.202,136.3626952
AGO,1975,36.39348207,19.94806495,17.74923553,19.128,139.3792711
AGO,1976,36.39712178,19.95005995,19.72137281,20.092,60.30626516
AGO,1977,36.40076186,19.95205516,21.91263645,21.088,58.27122934
AGO,1978,36.4044023,19.95405056,24.34737383,22.122,56.34918628
AGO,1979,36.4080431,19.95604617,27.05263759,23.192,58.57484183
AGO,1980,36.41168427,19.95804197,30.05848622,24.298,60.66208712
AGO,1981,36.4153258,19.96003798,33.39831802,25.437,58.56179183
AGO,1982,36.4189677,19.96203418,37.10924224,26.612,60.31531506
AGO,1983,36.42260996,19.96403058,41.23249138,27.821,63.26729105
AGO,1984,36.42625259,19.96602719,45.81387931,29.065,52.21142423
AGO,1985,36.42989558,19.96802399,50.90431034,30.338,60.63041376
AGO,1986,36.43353893,19.97002099,56.56034483,31.643,58.52650228
AGO,1987,36.43718265,19.97201819,62.84482759,32.978,56.78602334
AGO,1988,36.44082673,19.97401559,69.82758621,34.343,55.20394288
AGO,1989,36.44447118,19.9760132,77.5862069,35.731,53.60209108
AGO,1990,36.44811599,19.978011,86.20689655,37.144,53.1717991
AGO,1991,35.58866914,19.980009,82.65524625,38.58,54.45386488
AGO,1992,35.59222837,19.9820072,88.70116156,40.039,53.48664169
AGO,1993,35.59578794,19.9840056,93.68421053,41.511,52.00745328
AGO,1994,35.59934788,19.9860042,93.71727749,43,50.65260775
AGO,1995,35.60290817,19.988003,93.75,44.169,49.26424178
AGO,1996,36.18441523,19.990002,89.98054475,45.346,51.10855923
AGO,1997,36.18405339,19.9920012,76.35253054,46.525,69.32691034
AGO,1998,36.18369155,19.9940006,80.42488619,47.71,73.30919599
AGO,1999,36.18332971,19.9960002,66.96629213,48.897,71.91084769
AGO,2000,36.18296788,19.998,63.11418685,50.087,75.26467824
AGO,2001,34.9643106,20,62.08791209,51.274,82.61657065
AGO,2002,34.96396096,25.05605698,64.7592068,52.461,86.01884412
AGO,2003,34.96361132,26.13858986,62.20551378,53.645,95.85310338
AGO,2004,34.96326169,27.19790077,78.40501792,54.827,87.535308
AGO,2005,34.96291205,28.2321949,79.64824121,56,109.29523
AGO,2006,33.78859871,29.25037956,80.61101028,56.764,144.7153512
AGO,2007,33.78826082,37.5,77.6188996,57.524,133.2672387
AGO,2008,33.78792294,31.28475761,75.40904716,58.282,172.3849139
AGO,2009,33.78758506,32.32411957,65.34318902,59.034,189.2576538
AGO,2010,33.78724719,33.39371109,67.95742338,59.783,206.4544105
AGO,2011,33.10419463,34.6,70.90780393,60.528,207.0133429
AGO,2012,33.41549506,35.66650009,60.7994842,61.268,219.2534303
AGO,2013,34.66392257,36.87238312,58.02093476,62.002,280.2145467
AGO,2014,32.97402504,32,53.17510549,62.731,312.228825
AGO,2015,32.72987314,42,53.17492831,63.446,311.9165962
AGO,2016,31.78538881,40.66801834,52.64317902,64.149,311.6046796
AGO,2017,32.38850491,41.96289444,52.11674723,64.839,311.2930749
AGO,2018,32.3561164,43.25925827,51.59557976,65.514,310.9817818
AGO,2019,32.32376029,43.25969087,51.07962396,66.177,310.6708
AGO,2020,32.29143653,43.26012347,50.56882773,0,310.3601292
ATG,1960,22.34143523,91.78601147,0,39.656,0
ATG,1961,22.3436696,91.79519099,0,39.04,0
ATG,1962,22.34590419,91.80437143,0,38.427,0
ATG,1963,22.348139,91.81355278,0,37.817,0
ATG,1964,22.35037404,91.82273506,0,37.211,0
ATG,1965,22.3526093,91.83191825,0,36.61,0
ATG,1966,22.35484478,91.84110236,0,36.012,0
ATG,1967,22.35708049,91.85028739,0,35.418,0
ATG,1968,22.35931642,91.85947334,0,34.829,0
ATG,1969,22.36155258,91.8686602,0,34.245,0
ATG,1970,22.36378896,91.87784799,0,33.819,0
ATG,1971,22.36602556,91.88703669,0,33.898,0
ATG,1972,22.36826239,91.89622631,0,33.978,0
ATG,1973,22.37049944,91.90541686,0,34.057,0
ATG,1974,22.37273671,91.91460832,0,34.137,0
ATG,1975,22.37497421,91.9238007,0,34.217,0
ATG,1976,22.37721193,91.932994,0,34.297,0
ATG,1977,22.37944987,91.94218821,0,34.377,0
ATG,1978,22.38168804,91.95138335,0,34.457,0
ATG,1979,22.38392644,91.96057941,0,34.538,0
ATG,1980,22.38616505,91.96977639,0,34.618,0
ATG,1981,22.38840389,91.97897429,0,34.698,0
ATG,1982,22.39064296,91.9881731,0,34.779,0
ATG,1983,22.39288225,91.99737284,0,34.86,0
ATG,1984,22.39512176,92.0065735,0,34.94,0
ATG,1985,22.39736149,92.01577507,0,35.021,0
ATG,1986,22.39960145,92.02497757,0,35.102,0
ATG,1987,22.40184164,92.03418099,0,35.183,0
ATG,1988,22.40408205,92.04338533,0,35.264,0
ATG,1989,22.40632268,92.05259059,0,35.345,0
ATG,1990,22.40856353,92.06179677,0,35.426,0
ATG,1991,22.44261577,92.07100387,0,35.465,0
ATG,1992,22.44486025,92.08021189,0,35.085,0
ATG,1993,22.44710496,92.08942083,0,34.709,0
ATG,1994,22.4493499,92.09863069,0,34.334,0
ATG,1995,22.45159506,92.10784148,0,33.961,0
ATG,1996,21.97699711,92.11705318,0,33.59,0
ATG,1997,21.97677734,92.12626581,0,33.221,0
ATG,1998,21.97655757,92.13547936,0,32.855,0
ATG,1999,21.97633781,92.14469383,0,32.49,0
ATG,2000,21.97611804,92.15390922,0,32.127,0
ATG,2001,22.135215,92.16312553,0,31.74,0
ATG,2002,22.13499365,92.17234277,0,31.098,0
ATG,2003,22.1347723,92.18156092,0,30.464,0
ATG,2004,22.13455095,92.19078,0,29.837,0
ATG,2005,22.13432961,92.2,0,29.218,0
ATG,2006,22.52977728,100,0,28.606,0
ATG,2007,22.52955199,100,0,28.002,0
ATG,2008,22.52932669,100,0,27.405,0
ATG,2009,22.5291014,98.37036896,0,26.818,0
ATG,2010,22.52887611,98.48865509,1.494768311,26.238,0
ATG,2011,23.1478617,94.55201403,1.497005988,25.703,0
ATG,2012,21.47105044,100,0,25.526,0
ATG,2013,20.73538507,100,0,25.35,0
ATG,2014,19.72558362,100,0,25.175,0
ATG,2015,19.69638779,100,0,25,0
ATG,2016,18.46093032,100,0,24.846,0
ATG,2017,18.62234285,100,0,24.713,0
ATG,2018,18.6037205,100,0,24.599,0
ATG,2019,18.58511678,100.001,0,24.506,0
ATG,2020,18.56653167,100.002,0,0,0
ARG,1960,16.17193907,95.12025028,1.502404807,73.611,274.4146106
ARG,1961,16.17355643,95.12976326,1.669338675,74.217,304.9051229
ARG,1962,16.17517395,95.13927718,1.85482075,74.767,338.7834699
ARG,1963,16.17679162,95.14879206,2.060911944,75.309,376.4260777
ARG,1964,16.17840947,95.15830789,2.28990216,75.844,418.2511974
ARG,1965,16.18002747,95.16782468,2.544335734,76.369,464.7235527
ARG,1966,16.18164563,95.17734241,2.827039704,76.888,516.359503
ARG,1967,16.18326396,95.1868611,3.141155227,77.398,573.7327811
ARG,1968,16.18488245,95.19638074,3.490172474,77.901,637.4808679
ARG,1969,16.1865011,95.20590133,3.877969416,78.394,708.3120754
ARG,1970,16.18811991,95.21542287,4.308854906,78.88,787.0134171
ARG,1971,16.18973888,95.22494536,4.787616563,79.321,874.4593523
ARG,1972,16.19135802,95.23446881,5.319573959,79.743,925.3169217
ARG,1973,16.19297732,95.24399321,5.910637732,80.158,962.2661254
ARG,1974,16.19459678,95.25351856,6.567375257,80.567,993.2330549
ARG,1975,16.1962164,95.26304487,7.297083619,80.969,1011.993609
ARG,1976,16.19783618,95.27257212,8.107870688,81.366,1032.48922
ARG,1977,16.19945613,95.28210033,9.008745209,81.755,1081.751227
ARG,1978,16.20107624,95.2916295,10.0097169,82.139,1093.416674
ARG,1979,16.2026965,95.30115961,11.12190767,82.516,1217.17288
ARG,1980,16.20431694,95.31069068,12.35767518,82.887,1243.631466
ARG,1981,16.20593753,95.3202227,13.7307502,83.313,1197.592746
