,Country,LOCATION,ISO CODE 2 letter,VARIABLE,Variable,SOURCE,Source,YEAR,Year,visitors,Flag Codes,Flags
82,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2015,2015,1270800,,
83,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2016,2016,1325200,,
84,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2017,2017,1352900,,
85,Australia,AUS,AU,NZL,New Zealand,DEMAND,Tourism demand surveys,2018,2018,1371300,,
86,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2008,2008,461700,,
87,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2009,2009,455900,,
88,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2010,2010,494200,,
89,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2011,2011,475700,,
90,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2012,2012,483900,,
91,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2013,2013,509800,,
92,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2014,2014,538200,,
93,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2015,2015,584600,,
94,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2016,2016,664700,,
95,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2017,2017,759400,,
96,Australia,AUS,AU,USA,United States,DEMAND,Tourism demand surveys,2018,2018,788000,,
97,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2008,2008,231100,,
98,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2009,2009,237100,,
99,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2010,2010,248400,,
100,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2011,2011,268300,,
101,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2012,2012,265900,,
102,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2013,2013,306900,,
103,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2014,2014,357800,,
104,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2015,2015,363300,,
105,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2016,2016,418900,,
106,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2017,2017,432000,,
107,Australia,AUS,AU,SGP,Singapore,DEMAND,Tourism demand surveys,2018,2018,432600,,
108,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2008,2008,158956372,,
109,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2009,2009,172730578,,
110,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2010,2010,182268932,,
111,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2011,2011,190471255,,
112,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2012,2012,200392859,,
113,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2013,2013,217692167,,
114,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2014,2014,217920861,,
115,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2015,2015,235482508,,
116,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2016,2016,247157117,,
117,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2017,2017,264515040,,
118,Australia,AUS,AU,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2018,2018,269272430,,
119,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2008,2008,24164102,,
120,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2009,2009,21586720,,
121,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2010,2010,20734140,,
122,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2011,2011,22139322,,
123,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2012,2012,20949660,,
124,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2013,2013,22029176,,
125,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2014,2014,22560801,,
126,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2015,2015,24481674,,
127,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2016,2016,26683459,,
128,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2017,2017,28655104,,
129,Australia,AUS,AU,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2018,2018,28822085,,
130,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2008,2008,75853947,,
131,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2009,2009,86892363,,
132,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2010,2010,91945088,,
133,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2011,2011,95189774,,
134,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2012,2012,102858663,,
135,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2013,2013,109134556,,
136,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2014,2014,105163950,,
137,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2015,2015,113670724,,
138,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2016,2016,116972475,,
139,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2017,2017,126878577,,
140,Australia,AUS,AU,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2018,2018,132243655,,
141,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2008,2008,58938322,,
142,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2009,2009,64251494,,
143,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2010,2010,69589704,,
144,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2011,2011,73142159,,
145,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2012,2012,76584535,,
146,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2013,2013,86528436,,
147,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2014,2014,90196109,,
148,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2015,2015,97330110,,
149,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2016,2016,103501183,,
150,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2017,2017,108981359,,
151,Australia,AUS,AU,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2018,2018,108206689,,
152,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2008,2008,21935409,,
153,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2009,2009,21355440,,
154,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2010,2010,22004266,,
155,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2011,2011,23011956,,
156,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2012,2012,24150776,,
157,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2013,2013,24813128,,
158,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2014,2014,25291371,,
159,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2015,2015,26727634,,
160,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2016,2016,28120644,,
161,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2017,2017,29460335,,
162,Austria,AUT,AT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2018,2018,30815744,,
163,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2008,2008,960362,,
164,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2009,2009,994589,,
165,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2010,2010,1053566,,
166,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2011,2011,1198958,,
167,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2012,2012,1275578,,
168,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2013,2013,1281675,,
169,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2014,2014,1309660,,
170,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2015,2015,1400447,,
171,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2016,2016,1446447,,
172,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2017,2017,1454029,,
173,Austria,AUT,AT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2018,2018,1445342,,
174,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2008,2008,10709251,,
175,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2009,2009,10622837,,
176,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2010,2010,10706153,,
177,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2011,2011,10929670,,
178,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2012,2012,11411557,,
179,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2013,2013,11758193,,
180,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2014,2014,11750027,,
181,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2015,2015,12140737,,
182,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2016,2016,12986055,,
183,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2017,2017,13442884,,
184,Austria,AUT,AT,DEU,Germany,SUPPLY,Tourism supply surveys,2018,2018,14092157,,
185,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2008,2008,825313,,
186,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2009,2009,701247,,
187,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2010,2010,731417,,
188,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2011,2011,709209,,
189,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2012,2012,740972,,
190,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2013,2013,774117,,
191,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2014,2014,802552,,
192,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2015,2015,875776,,
193,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2016,2016,919623,,
194,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2017,2017,941512,,
195,Austria,AUT,AT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2018,2018,995677,,
196,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2008,2008,1033306,,
197,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2009,2009,1056488,,
198,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2010,2010,1067721,,
199,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2011,2011,1086957,,
200,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2012,2012,1060105,,
201,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2013,2013,1023530,,
202,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2014,2014,1051490,,
203,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2015,2015,1122970,,
204,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2016,2016,1102399,,
205,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2017,2017,1102081,,
206,Austria,AUT,AT,ITA,Italy,SUPPLY,Tourism supply surveys,2018,2018,1098950,,
207,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2008,2008,1650134,,
208,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2009,2009,1654959,,
209,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2010,2010,1617692,,
210,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2011,2011,1644620,,
211,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2012,2012,1714513,,
212,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2013,2013,1673536,,
213,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2014,2014,1671581,,
214,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2015,2015,1735184,,
215,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2016,2016,1862885,,
216,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2017,2017,1934724,,
217,Austria,AUT,AT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2018,2018,2001096,,
218,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2008,2008,92839547,,
219,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2009,2009,89864133,,
220,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2010,2010,89857167,,
221,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2011,2011,90705554,,
222,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2012,2012,95051917,,
223,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2013,2013,96874372,,
224,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2014,2014,96233027,,
225,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2015,2015,98824173,,
226,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2016,2016,102863435,,
227,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2017,2017,105977117,,
228,Austria,AUT,AT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2018,2018,110429735,,
229,Austria,AUT,AT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2008,2008,60463324,,
230,Austria,AUT,AT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2009,2009,57796267,,
231,Austria,AUT,AT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2010,2010,58314286,,
232,Austria,AUT,AT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2011,2011,59146607,,
233,Austria,AUT,AT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2012,2012,61359896,,
