LOCATION,VARIABLE,Variable,SOURCE,Source,YEAR,Year,visitors,Flag Codes,Flags
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2014,2014,217920861,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2015,2015,235482508,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2016,2016,247157117,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2017,2017,264515040,,
AUS,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,DEMAND,Tourism demand surveys,2018,2018,269272430,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2008,2008,24164102,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2009,2009,21586720,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2010,2010,20734140,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2011,2011,22139322,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2012,2012,20949660,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2013,2013,22029176,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2014,2014,22560801,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2015,2015,24481674,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2016,2016,26683459,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2017,2017,28655104,,
AUS,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,DEMAND,Tourism demand surveys,2018,2018,28822085,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2008,2008,75853947,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2009,2009,86892363,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2010,2010,91945088,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2011,2011,95189774,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2012,2012,102858663,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2013,2013,109134556,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2014,2014,105163950,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2015,2015,113670724,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2016,2016,116972475,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2017,2017,126878577,,
AUS,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,DEMAND,Tourism demand surveys,2018,2018,132243655,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2008,2008,58938322,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2009,2009,64251494,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2010,2010,69589704,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2011,2011,73142159,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2012,2012,76584535,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2013,2013,86528436,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2014,2014,90196109,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2015,2015,97330110,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2016,2016,103501183,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2017,2017,108981359,,
AUS,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,DEMAND,Tourism demand surveys,2018,2018,108206689,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2008,2008,21935409,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2009,2009,21355440,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2010,2010,22004266,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2011,2011,23011956,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2012,2012,24150776,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2013,2013,24813128,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2014,2014,25291371,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2015,2015,26727634,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2016,2016,28120644,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2017,2017,29460335,,
AUT,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2018,2018,30815744,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2008,2008,960362,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2009,2009,994589,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2010,2010,1053566,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2011,2011,1198958,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2012,2012,1275578,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2013,2013,1281675,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2014,2014,1309660,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2015,2015,1400447,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2016,2016,1446447,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2017,2017,1454029,,
AUT,CHE_LIE,Switzerland and Liechtenstein,SUPPLY,Tourism supply surveys,2018,2018,1445342,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2008,2008,10709251,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2009,2009,10622837,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2010,2010,10706153,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2011,2011,10929670,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2012,2012,11411557,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2013,2013,11758193,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2014,2014,11750027,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2015,2015,12140737,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2016,2016,12986055,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2017,2017,13442884,,
AUT,DEU,Germany,SUPPLY,Tourism supply surveys,2018,2018,14092157,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2008,2008,825313,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2009,2009,701247,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2010,2010,731417,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2011,2011,709209,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2012,2012,740972,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2013,2013,774117,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2014,2014,802552,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2015,2015,875776,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2016,2016,919623,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2017,2017,941512,,
AUT,GBR,United Kingdom,SUPPLY,Tourism supply surveys,2018,2018,995677,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2008,2008,1033306,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2009,2009,1056488,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2010,2010,1067721,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2011,2011,1086957,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2012,2012,1060105,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2013,2013,1023530,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2014,2014,1051490,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2015,2015,1122970,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2016,2016,1102399,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2017,2017,1102081,,
AUT,ITA,Italy,SUPPLY,Tourism supply surveys,2018,2018,1098950,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2008,2008,1650134,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2009,2009,1654959,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2010,2010,1617692,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2011,2011,1644620,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2012,2012,1714513,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2013,2013,1673536,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2014,2014,1671581,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2015,2015,1735184,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2016,2016,1862885,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2017,2017,1934724,,
AUT,NLD,Netherlands,SUPPLY,Tourism supply surveys,2018,2018,2001096,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2008,2008,92839547,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2009,2009,89864133,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2010,2010,89857167,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2011,2011,90705554,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2012,2012,95051917,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2013,2013,96874372,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2014,2014,96233027,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2015,2015,98824173,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2016,2016,102863435,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2017,2017,105977117,,
AUT,INB_ACCOMM_ALL_NIGHTS,Nights in all types of accommodation,SUPPLY,Tourism supply surveys,2018,2018,110429735,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2008,2008,60463324,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2009,2009,57796267,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2010,2010,58314286,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2011,2011,59146607,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2012,2012,61359896,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2013,2013,62137088,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2014,2014,61829801,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2015,2015,63354592,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2016,2016,65243779,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2017,2017,66641779,,
AUT,INB_ACCOMM_HOTEL_NIGHTS,Hotels and similar establishments,SUPPLY,Tourism supply surveys,2018,2018,68331357,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2008,2008,14275947,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2009,2009,14427937,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2010,2010,14271690,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2011,2011,14502930,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2012,2012,15798535,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2013,2013,16296458,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2014,2014,16269295,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2015,2015,16980708,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2016,2016,18154593,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2017,2017,19402542,,
AUT,INB_ACCOMM_OTHER_COLL_NIGHTS,Other collective establishments,SUPPLY,Tourism supply surveys,2018,2018,20962427,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2008,2008,18100276,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2009,2009,17639929,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2010,2010,17271191,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2011,2011,17056017,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2012,2012,17893486,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2013,2013,18440826,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2014,2014,18133931,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2015,2015,18488873,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2016,2016,19465063,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2017,2017,19932796,,
AUT,INB_ACCOMM_PRIVATE_NIGHTS,Private accommodation,SUPPLY,Tourism supply surveys,2018,2018,21135951,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2008,2008,5819853,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2009,2009,5451600,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2010,2010,5771650,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2011,2011,6076926,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2012,2012,6145711,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2013,2013,6227649,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2014,2014,6388967,B,Break
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2015,2015,6439780,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2016,2016,5556519,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2017,2017,6312587,,
BEL,INB_ARRIVALS_OVERNIGHT,Overnight visitors (tourists),SUPPLY,Tourism supply surveys,2018,2018,6700260,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2008,2008,621934,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2009,2009,607863,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2010,2010,640451,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2011,2011,664550,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2012,2012,636728,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2013,2013,657785,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2014,2014,667288,B,Break
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2015,2015,698056,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2016,2016,613521,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2017,2017,701040,,
BEL,DEU,Germany,SUPPLY,Tourism supply surveys,2018,2018,726000,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2008,2008,264189,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2009,2009,259442,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2010,2010,307875,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2011,2011,337147,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2012,2012,315222,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2013,2013,313681,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2014,2014,340432,B,Break
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2015,2015,329234,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2016,2016,272885,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2017,2017,348429,,
BEL,ESP,Spain,SUPPLY,Tourism supply surveys,2018,2018,345105,,
BEL,FRA,France,SUPPLY,Tourism supply surveys,2008,2008,903081,,
BEL,FRA,France,SUPPLY,Tourism supply surveys,2009,2009,921253,,
BEL,FRA,France,SUPPLY,Tourism supply surveys,2010,2010,963845,,
